winery,wine,year,rating,num_reviews,country,region,price,type,body,acidity
39,51,2013,4.9,58,0,14,995.0,10,5.0,3.0
5,60,2018,4.9,31,0,15,313.5,9,4.0,2.0
42,55,2009,4.8,1793,0,11,324.95,5,5.0,3.0
42,55,1999,4.8,1705,0,11,692.96,5,5.0,3.0
42,55,1996,4.8,1309,0,11,778.06,5,5.0,3.0
42,55,1998,4.8,1209,0,11,490.0,5,5.0,3.0
42,55,2010,4.8,1201,0,11,349.0,5,5.0,3.0
42,55,1995,4.8,926,0,11,810.89,5,5.0,3.0
42,56,2015,4.8,643,0,11,345.0,5,5.0,3.0
42,55,2011,4.8,630,0,11,315.0,5,5.0,3.0
42,56,2016,4.8,591,0,11,514.85,5,5.0,3.0
31,17,2016,4.8,454,0,11,105.15,5,5.0,3.0
42,56,2018,4.8,438,0,11,430.0,5,5.0,3.0
42,55,1970,4.8,417,0,11,925.0,5,5.0,3.0
40,15,1946,4.8,398,0,9,350.0,2,5.0,1.0
31,12,2015,4.8,372,0,11,166.18,5,5.0,3.0
42,55,1962,4.8,295,0,11,1620.0,5,5.0,3.0
42,56,2019,4.8,250,0,11,431.36,5,5.0,3.0
10,18,2018,4.8,217,0,7,195.6273796,4,4.0,3.0
42,56,2004,4.8,211,0,11,824.43,5,5.0,3.0
41,52,N.V.,4.8,174,0,6,253.0,8,4.0,3.0
42,56,2013,4.8,172,0,11,570.51,5,5.0,3.0
19,41,2016,4.8,145,0,11,1280.0,5,5.0,3.0
40,15,1931,4.8,139,0,9,244.85,2,5.0,1.0
42,56,2010,4.8,125,0,11,719.34,5,5.0,3.0
42,55,1979,4.8,118,0,11,815.0,5,5.0,3.0
40,16,1946,4.8,103,0,9,285.86,2,5.0,1.0
3,25,2004,4.8,87,0,10,1410.26,3,4.0,3.0
42,56,2005,4.8,87,0,11,813.96,5,5.0,3.0
42,56,2020,4.8,84,0,11,435.75,5,5.0,3.0
30,59,2014,4.8,79,0,14,369.05,10,5.0,3.0
42,56,1985,4.8,70,0,11,1182.77,5,5.0,3.0
40,15,1929,4.8,69,0,9,227.95,2,5.0,1.0
14,47,1999,4.8,68,0,11,999.0,5,5.0,3.0
43,40,2007,4.8,68,0,11,360.0,5,5.0,3.0
39,51,2012,4.8,56,0,14,1190.0,10,5.0,3.0
19,41,2017,4.8,52,0,11,1150.0,5,5.0,3.0
39,51,2009,4.8,50,0,14,950.0,10,5.0,3.0
3,25,2008,4.8,40,0,10,1021.21,3,4.0,3.0
36,32,2016,4.8,40,0,12,544.5,6,4.0,3.0
39,51,2011,4.8,32,0,14,1295.0,10,5.0,3.0
3,25,2017,4.8,31,0,10,992.2,3,4.0,3.0
39,51,2015,4.8,28,0,14,1289.44,10,5.0,3.0
18,27,2017,4.8,26,0,0,1098.9,4,4.0,3.0
24,24,1985,4.8,26,0,12,215.34,6,4.0,3.0
3,25,2018,4.8,26,0,10,1094.9,3,4.0,3.0
42,56,,4.7,12421,0,11,423.5,5,5.0,3.0
42,58,2010,4.7,5266,0,11,239.5,5,5.0,3.0
42,58,2014,4.7,4350,0,11,175.5,5,5.0,3.0
42,58,2006,4.7,3929,0,11,194.0,5,5.0,3.0
42,55,2005,4.7,3437,0,11,381.15,5,5.0,3.0
42,55,2004,4.7,3164,0,11,584.43,5,5.0,3.0
42,55,2000,4.7,3127,0,11,555.2,5,5.0,3.0
42,55,2007,4.7,2935,0,11,445.28,5,5.0,3.0
42,58,2015,4.7,2826,0,11,189.0,5,5.0,3.0
42,55,2006,4.7,2765,0,11,362.25,5,5.0,3.0
42,55,2008,4.7,2480,0,11,289.0,5,5.0,3.0
42,55,2003,4.7,2419,0,11,325.0,5,5.0,3.0
42,58,2016,4.7,2177,0,11,107.57,5,5.0,3.0
42,58,2005,4.7,1892,0,11,234.0,5,5.0,3.0
42,55,2002,4.7,1199,0,11,500.94,5,5.0,3.0
42,55,1991,4.7,1141,0,11,698.9,5,5.0,3.0
42,55,1994,4.7,940,0,11,872.47,5,5.0,3.0
42,56,2000,4.7,935,0,11,877.85,5,5.0,3.0
42,55,1990,4.7,690,0,11,827.94,5,5.0,3.0
31,12,2014,4.7,685,0,11,113.18,5,5.0,3.0
42,55,1989,4.7,675,0,11,679.72,5,5.0,3.0
42,55,1987,4.7,593,0,11,787.59,5,5.0,3.0
